"","ID","gene"
"1","MA0002.1","RUNX1"
"2","MA0002.2","Runx1"
"3","MA0003.1","TFAP2A"
"4","MA0003.2","TFAP2A"
"5","MA0003.3","TFAP2A"
"6","MA0003.4","TFAP2A"
"7","MA0004.1","Arnt"
"8","MA0006.1","Ahr::Arnt"
"9","MA0007.1","Ar"
"10","MA0007.2","AR"
"11","MA0007.3","Ar"
"12","MA0009.1","Tbxt"
"13","MA0009.2","TBXT"
"14","MA0014.1","Pax5"
"15","MA0014.2","PAX5"
"16","MA0014.3","PAX5"
"17","MA0017.1","NR2F1"
"18","MA0017.2","NR2F1"
"19","MA0018.1","CREB1"
"20","MA0018.2","CREB1"
"21",NA,NA
"22",NA,NA
"23","MA0018.3","CREB1"
"24","MA0018.4","CREB1"
"25","MA0019.1","Ddit3::Cebpa"
"26","MA0024.1","E2F1"
"27","MA0024.2","E2F1"
"28","MA0024.3","E2F1"
"29","MA0025.1","NFIL3"
"30","MA0025.2","NFIL3"
"31","MA0027.1","En1"
"32","MA0027.2","EN1"
"33","MA0028.1","ELK1"
"34","MA0028.2","ELK1"
"35","MA0029.1","Mecom"
"36","MA0030.1","FOXF2"
"37","MA0031.1","FOXD1"
"38","MA0032.1","FOXC1"
"39","MA0032.2","FOXC1"
"40","MA0033.1","FOXL1"
"41","MA0033.2","FOXL1"
"42","MA0035.1","Gata1"
"43","MA0035.2","Gata1"
"44","MA0035.3","Gata1"
"45","MA0035.4","GATA1"
"46","MA0036.1","GATA2"
"47","MA0036.2","GATA2"
"48","MA0036.3","GATA2"
"49","MA0037.1","GATA3"
"50","MA0037.2","GATA3"
"51","MA0037.3","GATA3"
"52","MA0037.4","Gata3"
"53","MA0038.1","Gfi1"
"54","MA0038.2","GFI1"
"55","MA0039.1","Klf4"
"56","MA0039.2","Klf4"
"57","MA0039.3","KLF4"
"58","MA0039.4","KLF4"
"59","MA0040.1","Foxq1"
"60","MA0041.1","Foxd3"
"61","MA0041.2","FOXD3"
"62","MA0042.1","FOXI1"
"63","MA0042.2","FOXI1"
"64","MA0043.1","HLF"
"65","MA0043.2","HLF"
"66","MA0043.3","HLF"
"67","MA0046.1","HNF1A"
"68","MA0046.2","HNF1A"
"69","MA0047.1","Foxa2"
"70","MA0047.2","Foxa2"
"71","MA0047.3","FOXA2"
"72","MA0048.1","NHLH1"
"73","MA0048.2","NHLH1"
"74","MA0050.1","IRF1"
"75","MA0050.2","IRF1"
"76","MA0050.3","Irf1"
"77","MA0051.1","IRF2"
"78","MA0052.1","MEF2A"
"79","MA0052.2","MEF2A"
"80","MA0052.3","MEF2A"
"81","MA0052.4","MEF2A"
"82","MA0056.1","MZF1"
"83","MA0056.2","MZF1"
"84","MA0058.1","MAX"
"85","MA0058.2","MAX"
"86","MA0058.3","MAX"
"87","MA0059.1","MAX::MYC"
"88","MA0060.1","NFYA"
"89",NA,NA
"90",NA,NA
"91",NA,NA
"92",NA,NA
"93",NA,NA
"94",NA,NA
"95",NA,NA
"96","MA0060.2","NFYA"
"97","MA0060.3","NFYA"
"98","MA0062.1","GABPA"
"99","MA0062.2","Gabpa"
"100","MA0062.3","GABPA"
"101","MA0063.1","Nkx2-5"
"102","MA0063.2","NKX2-5"
"103","MA0065.1","PPARG::RXRA"
"104","MA0065.2","Pparg::Rxra"
"105","MA0066.1","PPARG"
"106","MA0067.1","Pax2"
"107","MA0067.2","PAX2"
"108","MA0068.1","Pax4"
"109","MA0068.2","PAX4"
"110","MA0069.1","PAX6"
"111","MA0070.1","PBX1"
"112","MA0071.1","RORA"
"113","MA0072.1","RORA"
"114","MA0073.1","RREB1"
"115","MA0074.1","RXRA::VDR"
"116","MA0075.1","Prrx2"
"117","MA0075.2","Prrx2"
